Date,Value
2011-04,5.2
2011-05,13.4
2011-06,13.3
2011-07,15.1
2011-08,14.0
2011-09,13.5
2011-10,13.8
2011-11,13.2
2011-12,12.4
2012-01,12.8
2012-03,21.3
2012-04,11.9
2012-05,9.3
2012-06,9.6
2012-07,9.5
2012-08,9.2
2012-09,8.9
2012-10,9.2
2012-11,9.6
2012-12,10.1
2013-01,10.3
2013-04,8.9
2013-05,9.3
2013-06,9.2
2013-07,8.9
2013-08,9.7
2013-09,10.4
2013-10,10.2
2013-11,10.3
2013-12,10.0
2014-01,9.7
2014-04,8.8
2014-05,8.7
2014-06,8.8
2014-07,9.2
2014-08,9.0
2014-09,6.9
2014-10,8.0
2014-11,7.7
2014-12,7.2
2015-01,7.9
2015-04,5.6
2015-05,5.9
2015-06,6.1
2015-07,6.8
2015-08,6.0
2015-09,6.1
2015-10,5.7
2015-11,5.6
2015-12,6.2
2016-01,5.9
2016-04,6.8
2016-05,6.0
2016-06,6.0
2016-07,6.2
2016-08,6.0
2016-09,6.3
2016-10,6.1
2016-11,6.1
2016-12,6.2
2017-01,6.0
2017-04,7.6
2017-05,6.5
2017-06,6.5
2017-07,7.6
2017-08,6.4
2017-09,6.0
2017-10,6.6
2017-11,6.2
2017-12,6.1
2018-01,6.2
2018-04,6.0
2018-05,7.0
2018-06,6.8
2018-07,6.0
2018-08,6.0
2018-09,6.1
2018-10,5.8
2018-11,5.9
2018-12,5.4
2019-01,5.7
2019-04,8.5
2019-05,5.4
2019-06,5.0
2019-07,6.3
2019-08,4.8
2019-09,4.4
2019-10,5.8
2019-11,4.7
2019-12,6.2
2020-01,6.9
2020-04,-1.1
2020-05,3.9
2020-06,4.4
2020-07,4.8
2020-08,4.8
2020-09,5.6
2020-10,6.9
2020-11,6.9
2020-12,7.0
2021-01,7.3
2021-04,14.1
2021-05,9.8
2021-06,8.8
2021-07,8.3
2021-08,6.4
2021-09,5.3
2021-10,3.1
2021-11,3.5
2021-12,3.8
2022-01,4.3
2022-04,5.0
2022-05,-2.9
2022-06,0.7
2022-07,3.9
2022-08,3.8
2022-09,4.2
2022-10,6.3
2022-11,5.0
2022-12,2.2
2023-01,1.3
2023-04,3.9
2023-05,5.6
2023-06,3.5
2023-07,4.4
2023-08,3.7
2023-09,4.5
2023-10,4.5
2023-11,4.6
2023-12,6.6
2024-01,6.8
2024-04,4.5
2024-05,6.7
2024-06,5.6
2024-07,5.3
2024-08,5.1
2024-09,4.5
2024-10,5.4
2024-11,5.3
2024-12,5.4
2025-01,6.2
2025-04,7.7
2025-05,6.1
2025-06,5.8
2025-07,6.8
2025-08,5.7
2025-09,5.2
2025-10,6.5
2025-11,4.9
2025-12,4.8
