Date,Value
2011-04,17.1
2011-05,16.9
2011-06,17.7
2011-07,17.2
2011-08,17.0
2011-09,17.7
2011-10,17.2
2011-11,17.3
2011-12,18.1
2012-03,15.2
2012-04,14.1
2012-05,13.8
2012-06,13.7
2012-07,13.1
2012-08,13.2
2012-09,14.2
2012-10,14.5
2012-11,14.9
2012-12,15.2
2013-03,12.6
2013-04,12.8
2013-05,12.9
2013-06,13.3
2013-07,13.2
2013-08,13.4
2013-09,13.3
2013-10,13.3
2013-11,13.7
2013-12,13.6
2014-03,12.2
2014-04,11.9
2014-05,12.5
2014-06,12.4
2014-07,12.2
2014-08,11.9
2014-09,11.6
2014-10,11.5
2014-11,11.7
2014-12,11.9
2015-03,10.2
2015-04,10.0
2015-05,10.1
2015-06,10.6
2015-07,10.5
2015-08,10.8
2015-09,10.9
2015-10,11.0
2015-11,11.2
2015-12,11.1
2016-03,10.5
2016-04,10.1
2016-05,10.0
2016-06,10.6
2016-07,10.2
2016-08,10.6
2016-09,10.7
2016-10,10.0
2016-11,10.8
2016-12,10.9
2017-03,10.9
2017-04,10.7
2017-05,10.7
2017-06,11.0
2017-07,10.4
2017-08,10.1
2017-09,10.3
2017-10,10.0
2017-11,10.2
2017-12,9.4
2018-03,10.1
2018-04,9.4
2018-05,8.5
2018-06,9.0
2018-07,8.8
2018-08,9.0
2018-09,9.2
2018-10,8.6
2018-11,8.1
2018-12,8.2
2019-03,8.7
2019-04,7.2
2019-05,8.6
2019-06,9.8
2019-07,7.6
2019-08,7.5
2019-09,7.8
2019-10,7.2
2019-11,8.0
2019-12,8.0
2020-03,-15.8
2020-04,-7.5
2020-05,-2.8
2020-06,-1.8
2020-07,-1.1
2020-08,0.5
2020-09,3.3
2020-10,4.3
2020-11,5.0
2020-12,4.6
2021-03,34.2
2021-04,17.7
2021-05,12.4
2021-06,12.1
2021-07,8.5
2021-08,2.5
2021-09,4.4
2021-10,4.9
2021-11,3.9
2021-12,1.7
2022-03,-3.5
2022-04,-11.1
2022-05,-6.7
2022-06,3.1
2022-07,2.7
2022-08,5.4
2022-09,2.5
2022-10,-0.5
2022-11,-5.9
2022-12,-1.8
2023-03,10.6
2023-04,18.4
2023-05,12.7
2023-06,3.1
2023-07,2.5
2023-08,4.6
2023-09,5.5
2023-10,7.6
2023-11,10.1
2023-12,7.4
2024-03,3.1
2024-04,2.3
2024-05,3.7
2024-06,2.0
2024-07,2.7
2024-08,2.1
2024-09,3.2
2024-10,4.8
2024-11,3.0
2024-12,3.7
2025-03,5.9
2025-04,5.1
2025-05,6.4
2025-06,4.8
2025-07,3.7
2025-08,3.4
2025-09,3.0
2025-10,2.9
2025-11,1.3
2025-12,0.9
